"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"1";"BE";"TOTAL";"TOTAL";6110;50,503887;4,469936;"Belgium"
"2";"BG";"TOTAL";"TOTAL";1365;42,733883;25,48583;"Bulgaria"
"3";"CZ";"TOTAL";"TOTAL";245;49,817492;15,472962;"Czech Republic"
"4";"DK";"TOTAL";"TOTAL";2570;56,26392;9,501785;"Denmark"
"5";"DE";"TOTAL";"TOTAL";211325;51,165691;10,451526;"Germany"
"6";"EE";"TOTAL";"TOTAL";45;58,595272;25,013607;"Estonia"
"7";"IE";"TOTAL";"TOTAL";565;53,41291;-8,24389;"Ireland"
"8";"EL";"TOTAL";"TOTAL";3845;39,074208;21,824312;"Greece"
"9";"ES";"TOTAL";"TOTAL";2135;40,463667;-3,74922;"Spain"
"10";"FR";"TOTAL";"TOTAL";24465;46,227638;2,213749;"France"
"11";"HR";"TOTAL";"TOTAL";100;45,1;15,2;"Croatia"
"12";"IT";"TOTAL";"TOTAL";22320;41,87194;12,56738;"Italy"
"13";"CY";"TOTAL";"TOTAL";535;35,126413;33,429859;"Cyprus"
"14";"LV";"TOTAL";"TOTAL";70;56,879635;24,603189;"Latvia"
"15";"LT";"TOTAL";"TOTAL";145;55,169438;23,881275;"Lithuania"
"16";"LU";"TOTAL";"TOTAL";410;49,815273;6,129583;"Luxembourg"
"17";"HU";"TOTAL";"TOTAL";2205;47,162494;19,503304;"Hungary"
"18";"MT";"TOTAL";"TOTAL";195;35,937496;14,375416;"Malta"
"19";"NL";"TOTAL";"TOTAL";4275;52,132633;5,291266;"Netherlands"
"20";"AT";"TOTAL";"TOTAL";13350;47,516231;14,550072;"Austria"
"21";"PL";"TOTAL";"TOTAL";660;51,919438;19,145136;"Poland"
"22";"PT";"TOTAL";"TOTAL";135;39,399872;-8,224454;"Portugal"
"23";"RO";"TOTAL";"TOTAL";495;45,943161;24,96676;"Romania"
"24";"SI";"TOTAL";"TOTAL";80;46,151241;14,995463;"Slovenia"
"25";"SK";"TOTAL";"TOTAL";30;48,669026;19,699024;"Slovakia"
"26";"FI";"TOTAL";"TOTAL";7115;61,92411;25,748151;"Finland"
"27";"SE";"TOTAL";"TOTAL";38170;60,128161;18,643501;"Sweden"
"28";"UK";"TOTAL";"TOTAL";7700;55,378051;-3,435973;"United Kingdom"
"29";"IS";"TOTAL";"TOTAL";265;64,963051;-19,020835;"Iceland"
"30";"LI";"TOTAL";"TOTAL";25;47,166;9,555373;"Liechtenstein"
"31";"NO";"TOTAL";"TOTAL";5135;60,472024;8,468946;"Norway"
"32";"CH";"TOTAL";"TOTAL";5355;46,818188;8,227512;"Switzerland"
"33";"BE";"TOTAL";"REJECTED";2815;50,503887;4,469936;"Belgium"
"34";"BG";"TOTAL";"REJECTED";870;42,733883;25,48583;"Bulgaria"
"35";"CZ";"TOTAL";"REJECTED";190;49,817492;15,472962;"Czech Republic"
"36";"DK";"TOTAL";"REJECTED";1375;56,26392;9,501785;"Denmark"
"37";"DE";"TOTAL";"REJECTED";70805;51,165691;10,451526;"Germany"
"38";"EE";"TOTAL";"REJECTED";20;58,595272;25,013607;"Estonia"
"39";"IE";"TOTAL";"REJECTED";440;53,41291;-8,24389;"Ireland"
"40";"EL";"TOTAL";"REJECTED";2660;39,074208;21,824312;"Greece"
"41";"ES";"TOTAL";"REJECTED";1260;40,463667;-3,74922;"Spain"
"42";"FR";"TOTAL";"REJECTED";15730;46,227638;2,213749;"France"
"43";"HR";"TOTAL";"REJECTED";60;45,1;15,2;"Croatia"
"44";"IT";"TOTAL";"REJECTED";12265;41,87194;12,56738;"Italy"
"45";"CY";"TOTAL";"REJECTED";190;35,126413;33,429859;"Cyprus"
"46";"LV";"TOTAL";"REJECTED";20;56,879635;24,603189;"Latvia"
"47";"LT";"TOTAL";"REJECTED";25;55,169438;23,881275;"Lithuania"
"48";"LU";"TOTAL";"REJECTED";150;49,815273;6,129583;"Luxembourg"
"49";"HU";"TOTAL";"REJECTED";2135;47,162494;19,503304;"Hungary"
"50";"MT";"TOTAL";"REJECTED";30;35,937496;14,375416;"Malta"
"51";"NL";"TOTAL";"REJECTED";2265;52,132633;5,291266;"Netherlands"
"52";"AT";"TOTAL";"REJECTED";3930;47,516231;14,550072;"Austria"
"53";"PL";"TOTAL";"REJECTED";570;51,919438;19,145136;"Poland"
"54";"PT";"TOTAL";"REJECTED";65;39,399872;-8,224454;"Portugal"
"55";"RO";"TOTAL";"REJECTED";130;45,943161;24,96676;"Romania"
"56";"SI";"TOTAL";"REJECTED";20;46,151241;14,995463;"Slovenia"
"57";"SK";"TOTAL";"REJECTED";15;48,669026;19,699024;"Slovakia"
"58";"FI";"TOTAL";"REJECTED";4680;61,92411;25,748151;"Finland"
"59";"SE";"TOTAL";"REJECTED";9075;60,128161;18,643501;"Sweden"
"60";"UK";"TOTAL";"REJECTED";5120;55,378051;-3,435973;"United Kingdom"
"61";"IS";"TOTAL";"REJECTED";235;64,963051;-19,020835;"Iceland"
"62";"LI";"TOTAL";"REJECTED";10;47,166;9,555373;"Liechtenstein"
"63";"NO";"TOTAL";"REJECTED";1995;60,472024;8,468946;"Norway"
"64";"CH";"TOTAL";"REJECTED";1940;46,818188;8,227512;"Switzerland"
"65";"BE";"TOTAL";"SUB_PROT";750;50,503887;4,469936;"Belgium"
"66";"BG";"TOTAL";"SUB_PROT";225;42,733883;25,48583;"Bulgaria"
"67";"CZ";"TOTAL";"SUB_PROT";45;49,817492;15,472962;"Czech Republic"
"68";"DK";"TOTAL";"SUB_PROT";535;56,26392;9,501785;"Denmark"
"69";"DE";"TOTAL";"SUB_PROT";64285;51,165691;10,451526;"Germany"
"70";"EE";"TOTAL";"SUB_PROT";10;58,595272;25,013607;"Estonia"
"71";"IE";"TOTAL";"SUB_PROT";0;53,41291;-8,24389;"Ireland"
"72";"EL";"TOTAL";"SUB_PROT";40;39,074208;21,824312;"Greece"
"73";"ES";"TOTAL";"SUB_PROT";745;40,463667;-3,74922;"Spain"
"74";"FR";"TOTAL";"SUB_PROT";3695;46,227638;2,213749;"France"
"75";"HR";"TOTAL";"SUB_PROT";5;45,1;15,2;"Croatia"
"76";"IT";"TOTAL";"SUB_PROT";3100;41,87194;12,56738;"Italy"
"77";"CY";"TOTAL";"SUB_PROT";280;35,126413;33,429859;"Cyprus"
"78";"LV";"TOTAL";"SUB_PROT";40;56,879635;24,603189;"Latvia"
"79";"LT";"TOTAL";"SUB_PROT";5;55,169438;23,881275;"Lithuania"
"80";"LU";"TOTAL";"SUB_PROT";10;49,815273;6,129583;"Luxembourg"
"81";"HU";"TOTAL";"SUB_PROT";40;47,162494;19,503304;"Hungary"
"82";"MT";"TOTAL";"SUB_PROT";130;35,937496;14,375416;"Malta"
"83";"NL";"TOTAL";"SUB_PROT";1295;52,132633;5,291266;"Netherlands"
