"";"GeoIso";"GeoName";"Citizen";"Decision";"Count";"CountForOrder";"CountLabel"
"1";"DE";"Germany";"TOTAL";"TOTAL";211325;211325;"211,325"
"2";"SE";"Sweden";"TOTAL";"TOTAL";38170;38170;"38,170"
"3";"FR";"France";"TOTAL";"TOTAL";24465;24465;"24,465"
"4";"IT";"Italy";"TOTAL";"TOTAL";22320;22320;"22,320"
"5";"AT";"Austria";"TOTAL";"TOTAL";13350;13350;"13,350"
"6";"UK";"United Kingdom";"TOTAL";"TOTAL";7700;7700;"7,700"
"7";"FI";"Finland";"TOTAL";"TOTAL";7115;7115;"7,115"
"8";"BE";"Belgium";"TOTAL";"TOTAL";6110;6110;"6,110"
"9";"CH";"Switzerland";"TOTAL";"TOTAL";5355;5355;"5,355"
"10";"NO";"Norway";"TOTAL";"TOTAL";5135;5135;"5,135"
"11";"NL";"Netherlands";"TOTAL";"TOTAL";4275;4275;"4,275"
"12";"EL";"Greece";"TOTAL";"TOTAL";3845;3845;"3,845"
"13";"Other";"Other";"TOTAL";"TOTAL";12275;0;"12,275"
