"";"GeoIso";"GeoName";"Citizen";"Decision";"Count";"CountForOrder";"CountLabel"
"1";"DE";"Germany";"SY";"TOTAL";72770;211325;"72,770"
"2";"DE";"Germany";"IQ";"TOTAL";29360;211325;"29,360"
"3";"DE";"Germany";"AF";"TOTAL";40205;211325;"40,205"
"4";"DE";"Germany";"NG";"TOTAL";1290;211325;"1,290"
"5";"DE";"Germany";"PK";"TOTAL";6335;211325;"6,335"
"6";"SE";"Sweden";"SY";"TOTAL";21330;38170;"21,330"
"7";"SE";"Sweden";"IQ";"TOTAL";2110;38170;"2,110"
"8";"SE";"Sweden";"AF";"TOTAL";4290;38170;"4,290"
"9";"SE";"Sweden";"NG";"TOTAL";80;38170;"80"
"10";"SE";"Sweden";"PK";"TOTAL";120;38170;"120"
"11";"FR";"France";"SY";"TOTAL";1825;24465;"1,825"
"12";"FR";"France";"IQ";"TOTAL";795;24465;"795"
"13";"FR";"France";"AF";"TOTAL";1575;24465;"1,575"
"14";"FR";"France";"NG";"TOTAL";575;24465;"575"
"15";"FR";"France";"PK";"TOTAL";615;24465;"615"
"16";"IT";"Italy";"SY";"TOTAL";285;22320;"285"
"17";"IT";"Italy";"IQ";"TOTAL";290;22320;"290"
"18";"IT";"Italy";"AF";"TOTAL";1060;22320;"1,060"
"19";"IT";"Italy";"NG";"TOTAL";4775;22320;"4,775"
"20";"IT";"Italy";"PK";"TOTAL";2930;22320;"2,930"
"21";"AT";"Austria";"SY";"TOTAL";5365;13350;"5,365"
"22";"AT";"Austria";"IQ";"TOTAL";1230;13350;"1,230"
"23";"AT";"Austria";"AF";"TOTAL";2875;13350;"2,875"
"24";"AT";"Austria";"NG";"TOTAL";175;13350;"175"
"25";"AT";"Austria";"PK";"TOTAL";295;13350;"295"
"26";"UK";"United Kingdom";"SY";"TOTAL";320;7700;"320"
"27";"UK";"United Kingdom";"IQ";"TOTAL";680;7700;"680"
"28";"UK";"United Kingdom";"AF";"TOTAL";585;7700;"585"
"29";"UK";"United Kingdom";"NG";"TOTAL";380;7700;"380"
"30";"UK";"United Kingdom";"PK";"TOTAL";705;7700;"705"
"31";"FI";"Finland";"SY";"TOTAL";325;7115;"325"
"32";"FI";"Finland";"IQ";"TOTAL";3895;7115;"3,895"
"33";"FI";"Finland";"AF";"TOTAL";1610;7115;"1,610"
"34";"FI";"Finland";"NG";"TOTAL";30;7115;"30"
"35";"FI";"Finland";"PK";"TOTAL";10;7115;"10"
"36";"BE";"Belgium";"SY";"TOTAL";995;6110;"995"
"37";"BE";"Belgium";"IQ";"TOTAL";1510;6110;"1,510"
"38";"BE";"Belgium";"AF";"TOTAL";795;6110;"795"
"39";"BE";"Belgium";"NG";"TOTAL";30;6110;"30"
"40";"BE";"Belgium";"PK";"TOTAL";85;6110;"85"
"41";"CH";"Switzerland";"SY";"TOTAL";530;5355;"530"
"42";"CH";"Switzerland";"IQ";"TOTAL";225;5355;"225"
"43";"CH";"Switzerland";"AF";"TOTAL";610;5355;"610"
"44";"CH";"Switzerland";"NG";"TOTAL";95;5355;"95"
"45";"CH";"Switzerland";"PK";"TOTAL";15;5355;"15"
"46";"NO";"Norway";"SY";"TOTAL";2020;5135;"2,020"
"47";"NO";"Norway";"IQ";"TOTAL";470;5135;"470"
"48";"NO";"Norway";"AF";"TOTAL";1155;5135;"1,155"
"49";"NO";"Norway";"NG";"TOTAL";10;5135;"10"
"50";"NO";"Norway";"PK";"TOTAL";15;5135;"15"
"51";"NL";"Netherlands";"SY";"TOTAL";870;4275;"870"
"52";"NL";"Netherlands";"IQ";"TOTAL";490;4275;"490"
"53";"NL";"Netherlands";"AF";"TOTAL";325;4275;"325"
"54";"NL";"Netherlands";"NG";"TOTAL";60;4275;"60"
"55";"NL";"Netherlands";"PK";"TOTAL";45;4275;"45"
"56";"EL";"Greece";"SY";"TOTAL";1350;3845;"1,350"
"57";"EL";"Greece";"IQ";"TOTAL";35;3845;"35"
"58";"EL";"Greece";"AF";"TOTAL";80;3845;"80"
"59";"EL";"Greece";"NG";"TOTAL";55;3845;"55"
"60";"EL";"Greece";"PK";"TOTAL";885;3845;"885"
"61";"Other";"Other";"SY";"TOTAL";3440;0;"3,440"
"62";"Other";"Other";"IQ";"TOTAL";1090;0;"1,090"
"63";"Other";"Other";"AF";"TOTAL";1965;0;"1,965"
"64";"Other";"Other";"NG";"TOTAL";115;0;"115"
"65";"Other";"Other";"PK";"TOTAL";510;0;"510"
